REVIEW_TEXT,RATING,PRODUCT_TITLE,PRODUCT_CATEGORY,REVIEW_TITLE
Not nice,1,"Solid Men Mandarin Collar White, Blue T-Shirt",Apparel,
Good quality product,5,"Solid Men Mandarin Collar White, Blue T-Shirt",Apparel,
Nice,5,"Solid Men Mandarin Collar White, Blue T-Shirt",Apparel,
Very bed,1,"Solid Men Mandarin Collar White, Blue T-Shirt",Apparel,
Good,3,"Solid Men Mandarin Collar White, Blue T-Shirt",Apparel,
Good product,5,"Solid Men Mandarin Collar White, Blue T-Shirt",Apparel,
Supper prodct,5,"Solid Men Mandarin Collar White, Blue T-Shirt",Apparel,
Good,5,"Solid Men Mandarin Collar White, Blue T-Shirt",Apparel,
It is not good,2,"Solid Men Mandarin Collar White, Blue T-Shirt",Apparel,
Good quality,5,"Solid Men Mandarin Collar White, Blue T-Shirt",Apparel,
Very nice product,5,Men Super Slim Fit Solid Spread Collar Casual Shirt,Apparel,
"It's Navy Blue, not black",1,Men Super Slim Fit Solid Spread Collar Casual Shirt,Apparel,
Bad product,1,Men Super Slim Fit Solid Spread Collar Casual Shirt,Apparel,
Very nice shirt colour is dark blue and quality is really good,5,Men Super Slim Fit Solid Spread Collar Casual Shirt,Apparel,
Good,5,Men Super Slim Fit Solid Spread Collar Casual Shirt,Apparel,
Excellent product.,5,Men Super Slim Fit Solid Spread Collar Casual Shirt,Apparel,
Awesome...this is dark blue shirt not black,4,Men Super Slim Fit Solid Spread Collar Casual Shirt,Apparel,
"Quality is awesome, good fiting but color is dark nevi blue.",4,Men Super Slim Fit Solid Spread Collar Casual Shirt,Apparel,
Retern product,5,Men Super Slim Fit Solid Spread Collar Casual Shirt,Apparel,
It's not black its dark navy blue... otherwise shirt is nice ,3,Men Super Slim Fit Solid Spread Collar Casual Shirt,Apparel,
Quality is not good,2,Color Block Men Round Neck Black T-Shirt,Apparel,
Very very nyc good quality product,5,Color Block Men Round Neck Black T-Shirt,Apparel,
Doesn't absorb sweat. Fabric makes it uncomfortable,3,Color Block Men Round Neck Black T-Shirt,Apparel,
Good product,4,Color Block Men Round Neck Black T-Shirt,Apparel,
Gud luking,5,Color Block Men Round Neck Black T-Shirt,Apparel,
Good but size is short,3,Color Block Men Round Neck Black T-Shirt,Apparel,
Good,4,Color Block Men Round Neck Black T-Shirt,Apparel,
Good,5,Color Block Men Round Neck Black T-Shirt,Apparel,
Nice product,4,Color Block Men Round Neck Black T-Shirt,Apparel,
Nice,5,Color Block Men Round Neck Black T-Shirt,Apparel,
Colour are little dull but product cloth and size is good,3,"Typography Men Hooded Neck Red, Black T-Shirt",Apparel,
It is awesome,5,"Typography Men Hooded Neck Red, Black T-Shirt",Apparel,
Nice t-shirts,5,"Typography Men Hooded Neck Red, Black T-Shirt",Apparel,
This is very good I like very much,5,"Typography Men Hooded Neck Red, Black T-Shirt",Apparel,
Avareage quality but good item.,3,"Typography Men Hooded Neck Red, Black T-Shirt",Apparel,
Very nice colour and looking,5,"Typography Men Hooded Neck Red, Black T-Shirt",Apparel,
Super,3,"Typography Men Hooded Neck Red, Black T-Shirt",Apparel,
Good not bad,4,"Typography Men Hooded Neck Red, Black T-Shirt",Apparel,
Nice,5,"Typography Men Hooded Neck Red, Black T-Shirt",Apparel,
Long size,5,"Typography Men Hooded Neck Red, Black T-Shirt",Apparel,
Good product,5,"Striped Men Hooded Neck Red, Black T-Shirt",Apparel,
Not as expected,2,"Striped Men Hooded Neck Red, Black T-Shirt",Apparel,
Good,5,"Striped Men Hooded Neck Red, Black T-Shirt",Apparel,
Nice,4,"Striped Men Hooded Neck Red, Black T-Shirt",Apparel,
Good one,5,"Striped Men Hooded Neck Red, Black T-Shirt",Apparel,
Very bad quality,1,"Striped Men Hooded Neck Red, Black T-Shirt",Apparel,
Bar cool photo,1,"Striped Men Hooded Neck Red, Black T-Shirt",Apparel,
Good product i like it so much,5,"Striped Men Hooded Neck Red, Black T-Shirt",Apparel,
Nice,5,"Striped Men Hooded Neck Red, Black T-Shirt",Apparel,
Product is value for money,4,"Striped Men Hooded Neck Red, Black T-Shirt",Apparel,
Good,3,Men Slim Fit Color Block Spread Collar Casual Shirt,Apparel,
He is best products thanks,5,Men Slim Fit Color Block Spread Collar Casual Shirt,Apparel,
"Amezzing,good quality",5,Men Slim Fit Color Block Spread Collar Casual Shirt,Apparel,
Wow great,5,Men Slim Fit Color Block Spread Collar Casual Shirt,Apparel,
Good,3,Men Slim Fit Color Block Spread Collar Casual Shirt,Apparel,
super,5,Men Slim Fit Color Block Spread Collar Casual Shirt,Apparel,
super,5,Men Slim Fit Color Block Spread Collar Casual Shirt,Apparel,
Nice products but I no like that,4,Men Slim Fit Color Block Spread Collar Casual Shirt,Apparel,
Super t-shirt,5,Men Slim Fit Color Block Spread Collar Casual Shirt,Apparel,
Good but size is different than usual usage...,4,Men Slim Fit Color Block Spread Collar Casual Shirt,Apparel,
Ok,4,Striped Men Round Neck Yellow T-Shirt,Apparel,
Nice,5,Striped Men Round Neck Yellow T-Shirt,Apparel,
Fast,5,Striped Men Round Neck Yellow T-Shirt,Apparel,
Nice but a little bit colour fade after first wash,4,Striped Men Round Neck Yellow T-Shirt,Apparel,
Nice,4,Striped Men Round Neck Yellow T-Shirt,Apparel,
Good,4,Striped Men Round Neck Yellow T-Shirt,Apparel,
Good products,5,Striped Men Round Neck Yellow T-Shirt,Apparel,
Best,3,Striped Men Round Neck Yellow T-Shirt,Apparel,
Good product,5,Striped Men Round Neck Yellow T-Shirt,Apparel,
It's very good clothThanks Flipkart ,5,Striped Men Round Neck Yellow T-Shirt,Apparel,
Good,4,Abstract Men Hooded Neck Dark Blue T-Shirt,Apparel,
Good,3,Abstract Men Hooded Neck Dark Blue T-Shirt,Apparel,
Very good fabric... Thanku flipcart,5,Abstract Men Hooded Neck Dark Blue T-Shirt,Apparel,
Very good product,5,Abstract Men Hooded Neck Dark Blue T-Shirt,Apparel,
Just ok..,5,Abstract Men Hooded Neck Dark Blue T-Shirt,Apparel,
Nice,5,Abstract Men Hooded Neck Dark Blue T-Shirt,Apparel,
OK ,4,Abstract Men Hooded Neck Dark Blue T-Shirt,Apparel,
Looks nice,3,Abstract Men Hooded Neck Dark Blue T-Shirt,Apparel,
Good,4,Abstract Men Hooded Neck Dark Blue T-Shirt,Apparel,
Excellent....,5,Abstract Men Hooded Neck Dark Blue T-Shirt,Apparel,
Good night,5,"Printed Men Hooded Neck Dark Green, Black T-Shirt",Apparel,
Ok,3,"Printed Men Hooded Neck Dark Green, Black T-Shirt",Apparel,
Very nice fitting t shirt,4,"Printed Men Hooded Neck Dark Green, Black T-Shirt",Apparel,
Very good item,5,"Printed Men Hooded Neck Dark Green, Black T-Shirt",Apparel,
nice,5,"Printed Men Hooded Neck Dark Green, Black T-Shirt",Apparel,
Nice,5,"Printed Men Hooded Neck Dark Green, Black T-Shirt",Apparel,
Good quality. Improve your size strength,5,"Printed Men Hooded Neck Dark Green, Black T-Shirt",Apparel,
Nice,5,"Printed Men Hooded Neck Dark Green, Black T-Shirt",Apparel,
Not good,1,"Printed Men Hooded Neck Dark Green, Black T-Shirt",Apparel,
Nice shirt,4,"Printed Men Hooded Neck Dark Green, Black T-Shirt",Apparel,
Good fabric,5,"Solid Men Polo Neck White, Black T-Shirt",Apparel,
Nice quality,5,"Solid Men Polo Neck White, Black T-Shirt",Apparel,
Good looking,4,"Solid Men Polo Neck White, Black T-Shirt",Apparel,
T shirt color is good but matiral is not good,5,"Solid Men Polo Neck White, Black T-Shirt",Apparel,
Good,5,"Solid Men Polo Neck White, Black T-Shirt",Apparel,
Very good,5,"Solid Men Polo Neck White, Black T-Shirt",Apparel,
Best  thanks so much,5,"Solid Men Polo Neck White, Black T-Shirt",Apparel,
Nice T-shirt,5,"Solid Men Polo Neck White, Black T-Shirt",Apparel,
Nice,5,"Solid Men Polo Neck White, Black T-Shirt",Apparel,
Nice product.i'm loving it.,4,"Solid Men Polo Neck White, Black T-Shirt",Apparel,
T shirt very bad,1,"Color Block Men Round Neck Black, White T-Shirt",Apparel,
Average worth for money,3,"Color Block Men Round Neck Black, White T-Shirt",Apparel,
Bad,1,"Color Block Men Round Neck Black, White T-Shirt",Apparel,
Front line is not show style .it's Ok,4,"Color Block Men Round Neck Black, White T-Shirt",Apparel,
Quality not upto mark.....,1,"Color Block Men Round Neck Black, White T-Shirt",Apparel,
Recommended,5,"Color Block Men Round Neck Black, White T-Shirt",Apparel,
Good product by valuable price,5,"Color Block Men Round Neck Black, White T-Shirt",Apparel,
